trade_date,RB9999,Y9999,IC9999,HC9999,I9999,TA9999,WR9999,CF9999,CJ9999,TF9999,V9999,FU9999,FG9999,CU9999,CY9999,IH9999,T9999,PB9999,RM9999,JM9999,ZC9999,PP9999,RU9999,P9999,B9999,SC9999,J9999,AP9999,ZN9999,C9999,BU9999,SR9999,AG9999,SM9999,TS9999,NI9999,IF9999,L9999,SF9999,MA9999,CS9999,EG9999,BB9999,SN9999,OI9999,M9999,SP9999,JD9999,AU9999,A9999,WH9999,AL9999
2005-02-24,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-25,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-02-28,,,,,,,,CF0505.XZCE,,,,FU0503.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-03-01,,,,,,,,CF0505.XZCE,,,,FU0505.XSGE,,CU0504.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-03-02,,,,,,,,CF0505.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-03-03,,,,,,,,CF0505.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-03-04,,,,,,,,CF0505.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0504.XSGE
2005-03-07,,,,,,,,CF0505.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0505.XDCE,,AL0505.XSGE
2005-03-08,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-09,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-10,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-11,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-14,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-15,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-16,,,,,,,,CF0506.XZCE,,,,FU0505.XSGE,,CU0505.XSGE,,,,,,,,,RU0505.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-17,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0505.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-18,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0505.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0505.XSGE
2005-03-21,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-22,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-23,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-24,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-25,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0505.XSGE,,,,,,,,,RU0506.XSGE,,B0505.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-28,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-29,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-30,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-03-31,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-01,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-04,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-05,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-06,,,,,,,,CF0506.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-07,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-08,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-11,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0506.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-12,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-13,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-14,,,,,,,,CF0507.XZCE,,,,FU0506.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-15,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-18,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-19,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-20,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-21,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0506.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-22,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-25,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-26,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-27,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-28,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-04-29,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-05-09,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-05-10,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0507.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0506.XSGE
2005-05-11,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-12,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-13,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-16,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-17,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-18,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-19,,,,,,,,CF0507.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-20,,,,,,,,CF0509.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-23,,,,,,,,CF0509.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-24,,,,,,,,CF0509.XZCE,,,,FU0507.XSGE,,CU0507.XSGE,,,,,,,,,RU0507.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-25,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-26,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0507.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-27,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-30,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-05-31,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-06-01,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0507.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-06-02,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0508.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-06-03,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0508.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0507.XSGE
2005-06-06,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0508.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0508.XSGE
2005-06-07,,,,,,,,CF0509.XZCE,,,,FU0508.XSGE,,CU0508.XSGE,,,,,,,,,RU0508.XSGE,,B0509.XDCE,,,,,C0509.XDCE,,,,,,,,,,,,,,,,M0508.XDCE,,,,A0509.XDCE,,AL0508.XSGE
